text,link,description
"The doctor, Sean, he's a great doctor. He goes... He's the White House doctor... ""Sir, Barron has tested positive, sir, sorry to inform you."" I say, ""Oh, that's bad. What does that mean? Positive for what?"" He goes, ""For COVID."" You know, we have about 30 names, China virus, the Plague, whatever you want to... the plague from China. We have to be accurate. ""Barron has tested positive."" And I said, ""That's too bad."" Like two minutes later I said, ""How's Barron doing?"" ""Oh, it's okay. It's all gone.""",https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-bullhead-city-az-october-28,"Donald Trump held a campaign rally in Bullhead City, Arizona on October 28. Read the transcript of his rally speech here."
"We're on track to deliver 100-million doses of a really great, safe vaccine. And we have some of the greatest companies in the world. They're right at the doorstep. And if I weren't president, if you had Sleepy Joe as your president, it would have taken you four years to have a vaccine. You would have never had a vaccine. What we did with the FDA, they said, ""Sir we'll need approximately two years."" I said, ""How about one week?"" We moved up the schedule, and yet very, very safe. We will vanquish the virus and emerge stronger than ever before. Our country will be stronger than ever before.",https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-bullhead-city-az-october-28,"Donald Trump held a campaign rally in Bullhead City, Arizona on October 28. Read the transcript of his rally speech here."
"We will defend religious liberty, free speech, the right to life, and the right to keep and bear arms. We will maintain America's unrivaled military might. Nobody has the equipment that we do. We are the envy of the world militarily. Nobody has done, and when I came the first week I was told by one of the world's most overrated generals, ""Sir, we have no ammunition."" Now we have so much ammunition, we don't know what the hell to do with it. All made in the U.S.A. all made in the U.S.A. And we will ensure peace through strength. Right? Do you like that?",https://www.rev.com/blog/transcripts/donald-trump-rally-speech-transcript-bullhead-city-az-october-28,"Donald Trump held a campaign rally in Bullhead City, Arizona on October 28. Read the transcript of his rally speech here."
"What a crowd, what a crowd. You see what's going on in the road? All the way up here. We have people all the way up. It was never like that for the last administration, they tell me. I'll ask the guys that happened to be with me, they were winning the last one too. They don't say much. I said, ""Was it like that?"" They said, ""Sir, nothing was like that. Nothing."" It was never like that. And they've got the Trump signs and the flags and the American flags all over the place. All those American flags. Thank you very much.",https://www.rev.com/blog/transcripts/donald-trump-carson-city-nevada-rally-speech-transcript-october-18,"Donald Trump held a campaign rally in Carson City, Nevada on October 18. Read the full transcript of his rally speech here."
"Early voting is underway. So get out and vote. And they're getting a little worried because certain areas ... we know we're going to have a big red wave. We're going to have a tremendous ... they know it. These fakers back there, they know it. They know it. All you have to do is look at this crowd. When did we set this up, like two days ago? ""We'll be in Carson City in about two days,"" and the people come out like crazy. And the people in the road, thousands and thousands because they couldn't get in. It's pretty sad when you take an airport and it's not big enough, right? ""Sir, we have a problem. We have an airport, it's not big enough.""",https://www.rev.com/blog/transcripts/donald-trump-carson-city-nevada-rally-speech-transcript-october-18,"Donald Trump held a campaign rally in Carson City, Nevada on October 18. Read the full transcript of his rally speech here."
"But anyway, I took this drug. I wasn't feeling good. It's a transfusion, as they say. Like one hour. And the next day I felt like Superman. I got up, I said, ""What the hell is going on?"" I felt like Superman. I said, ""Come on, bring them on, bring them on whoever it is."" No, I felt good. And I could have left. I wanted to leave the hospital then. They said, ""Sir, can we have a couple of more days, please?"" But these doctors are great. I love you, too. I love you, too. Thank you. Appreciate it. Thank you.",https://www.rev.com/blog/transcripts/donald-trump-carson-city-nevada-rally-speech-transcript-october-18,"Donald Trump held a campaign rally in Carson City, Nevada on October 18. Read the full transcript of his rally speech here."
"But anyway, but John King, so he's up there. He won Florida. Oh, well that was quick. But the big, when we won Ohio, because did you ever hear, for a year and a half, when we were thinking about doing this, you cannot win unless you win the great state of Ohio, right? You heard that a hundred times. They were doing that for me, shtick. And then I get these polls. I had great people in Ohio. They said, ""Sir, you're going to win Ohio. You don't even have to come back. You're going to win Ohio."" By the way, they said that to me again, just recently. But they said, You can't not win."" So we ended up winning Ohio by eight points. And it wasn't that we won Ohio, but the polls closed at seven o'clock and it's seven o'clock and one second, because you know, unless you win big Michael, right? You know, they keep you waiting. So the polls have closed in the great state of Ohio. Donald Trump has won the state of Ohio.",https://www.rev.com/blog/transcripts/donald-trump-carson-city-nevada-rally-speech-transcript-october-18,"Donald Trump held a campaign rally in Carson City, Nevada on October 18. Read the full transcript of his rally speech here."
"No, they're all good kids. But could you imagine, you know, Baron had the problem. Okay? He got healed in about 15 seconds, right? You got to understand that. You know, the young kids. What is it, 99.9 something. They said Barron tested positive. Even I wasn't worried. You know, he's strong. He's definitely tall. He's tall. And he's a good kid. He's a good kid. He's a smart kid. But they said, ""Sir, Barron tested positive."" At first she said, ""Oh."" I said, ""Well, is he okay?"" ""Yeah."" ""Are you going to give them anything?"" ""No."" Like two seconds later, I said, ""How's Barron?"" ""Oh, he's all set. He beat it."" I hate to say it. They have a much stronger immune system than we do. I hate to say that. You know? I said, ""Congratulations, Barron."" I said, ""That was quick."" I said, ""How did it feel?"" ""I don't know.""",https://www.rev.com/blog/transcripts/donald-trump-carson-city-nevada-rally-speech-transcript-october-18,"Donald Trump held a campaign rally in Carson City, Nevada on October 18. Read the full transcript of his rally speech here."
"People think, ""Is it racist?"" It's not racist. It's the opposite. I've had people come to me and say, ""Thank you so much."" But they keep talking about the women from the suburbs. I say, ""I think we're going to have a big resounding, 'What the hell happened with women to the suburbs? They really like Trump a lot.'"" Only vote for me if you're a woman from the suburbs. And I shouldn't say this because they'll bring it up, but one time early on... I haven't been doing this that long. I haven't been doing it. I have guys that had been running, ""Sir, I've been running for 40 years."" I said, ""Well, I've only run for two years, but I became president. You didn't.""",https://www.rev.com/blog/transcripts/donald-trump-carson-city-nevada-rally-speech-transcript-october-18,"Donald Trump held a campaign rally in Carson City, Nevada on October 18. Read the full transcript of his rally speech here."
"Everybody said, ""These things are complicated."" They walked in like, ""That's got to be the simplest piece of equipment we've ever seen."" And we now have become the ventilator. We're making thousands and thousands a month, and we're actually giving. We don't need any. But we didn't have ventilators. We weren't equipped for a thing like this. Our cupboards were empty. The governor's were. And I got to know all the governors. Some did a great job, and some did a poor job. But when we had our weekly calls with the governors, they would say, even the biggest enemies, the biggest haters, ""Sir, thank you very much."" Or to our great vice president, who headed up the task force, Mike Pence. Mike Pence.",https://www.rev.com/blog/transcripts/donald-trump-carson-city-nevada-rally-speech-transcript-october-18,"Donald Trump held a campaign rally in Carson City, Nevada on October 18. Read the full transcript of his rally speech here."
"Thank you very much. Thank you very much, everybody. Thank you very much, everybody. Hello, Des Moines. Oh, it's been a good time we've had in Des Moines. I even brought a hat. They said, ""Sir, it is so windy out there."" I said, ""Well, my hair is very powerful. It's very strong. It can handle it."" But I bought it just in case. It may get pretty bad. But it's pretty windy. So thank you all very much. And I'm thrilled to be back in the American Heartland with thousands of loyal, hardworking Iowa patriots. And 20 days from now, we're going to win this state. We're going to win four more years in the White House. We're going to keep it going.",https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14,"Donald Trump held a campaign rally in Des Moines, Iowa on October 14. Read the transcript of his speech remarks here."
"But we were really coming together because that's... Look, ultimately, we want to come together, everybody come together. And we were really coming together and then we got hit by this horrible situation, could have been stopped. China stopped it from going into the rest of China, but they didn't stop it from coming out and going to Europe, and the United States, and the rest of the world, 188 countries. So, we're now putting it together. We had it done and now we're doing it again, and next year will be even stronger than last year. Last year was the best year we've ever had, and this coming year will be even better than last year. Unless somebody comes along and says, ""Let's quadruple your taxes,"" which is what they want to do. They want to raise your taxes. They want to go with this ridiculous Green New Deal, which by the way, their original price, a hundred trillion, you couldn't do it for that. If we did great every year for a hundred years, everything was perfect, right? No nothing, no recessions, no anything, you couldn't make a hundred trillion dollars. These people are crazy, and they actually mean it. So, we're going to get it going to a level that nobody can ever turn course on us, nobody can ever change. I tell the story for years as a student of economies, I just love it, I love watching it, I love doing it, and I love seeing the results because the results have been so incredible. But as a student, I used to hear for years, for 10 years, 2019 China... Because look, let's face it, China is 1.4 billion people, we're 325, not including illegal immigrants that are in the country, frankly. And we don't even know what that number... I said, ""How many do we have?"" ""We have no idea, sir."" Well, I have an idea... By the way, our Southern border is now stronger than it's ever been. But we have 325, 330 million people. But for years I heard that China will overtake us as the world's largest economy in the year 2019, you've all heard it, I think, right? Yes? He's a very smart looking guy, you're loaded with money, I bet, look, that's why he's in the front row.",https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14,"Donald Trump held a campaign rally in Des Moines, Iowa on October 14. Read the transcript of his speech remarks here."
"He's in the front row and he didn't have to stand there for three days to get there, I could tell this guy. But, right? 2019 that China was going to overtake. Well, you go back six months, seven months, not only weren't they overtaking we were beating them by leaps and bounds and getting bigger and bigger, and growing and growing, and taxing them and taxing them, and taking in billions and billions in tariffs. And when they targeted Iowa and the farmers of this country, and ranchers, and others, I said, ""No, you can't do that, no, you can't."" And I put a 25% tariff on everything and I gave a lot of the money... I don't want to say it too loudly, 28 billion, I gave you 16 and 12. I said to Sonny Perdue, Secretary of Agriculture, great guy, loves... He knows more about farms. I said, ""Sonny, what's the number?"" He said, ""Two years ago, sir, 12 billion they hit us 4. And last year, 16 billion.""",https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14,"Donald Trump held a campaign rally in Des Moines, Iowa on October 14. Read the transcript of his speech remarks here."
"I said, ""If you do it then what we're going to do is we're going to tariff your goods away, give a lot of that money to the people that you're targeting."" And the thing that most impresses me about Iowa, Nebraska, and a lot of other States, if you look... By the way, Minnesota was so great, all of them, every one of them, Wisconsin was incredible. They never came to me and said, ""Sir, you can't let this happen. They'll stop re-ordering, they're not ordering from us."" They never said it. You know what they said, ""The president is right, at some point we have to put up a stand."" And I didn't hear one even from fake CNN, they put people on television that said, ""I know it's not good, but the president is right."" You did the right thing. Because otherwise, it puts me in a bad negotiating position, you can't really negotiate, it's tough. I'll never forget that about the farmers, it's incredible. The other thing I won't forget... You don't mind if I go off script, this stuff is...",https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14,"Donald Trump held a campaign rally in Des Moines, Iowa on October 14. Read the transcript of his speech remarks here."
"Enough with crazy Hunter Biden and making millions of dollars a day, he made it because of his great intellect. No, but you know the other thing... Where's Hunter? Is Hunter here tonight, by the way? Hunter, congratulations on making a lot of money last year. The other thing I remember in the White House, we had 36 farmers come to see me, I'll never forget it. And they were getting hit really hard, this was two and a half years ago, early. And they came in to see me, almost all farmers, and they said, ""Sir, we're hurting, but you're doing the right thing, sir."" I'll never forget this meeting, it's early... I've pictures of it. Many from Iowa, but from other states, but many from Iowa. And I never saw... Because everyone's always asking me for money, ""I want money here. I want... Countries want money."" Our so-called allies are always asking for money, "" Please defend us."" Even though... And then they rip us off on trade. We defend them and then they rip us off in trade, they're always asking for money.",https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14,"Donald Trump held a campaign rally in Des Moines, Iowa on October 14. Read the transcript of his speech remarks here."
"So, the farmers are in, and I said to them, ""You know what I'm going to do? I'm going to do a big thing, I'm going to get you a lot of money and I'm going to do for tariffs, and I'm going to do this to..."" This is very early on in the strategy. ""And I'm going to subsidize you guys, you're going to be so happy."" And I used a terrible word. They said, ""Sir, may I speak?"" ""Yes, you can. What do you want to say?"" ""We don't want subsidy, sir. All we want is a level playing field, we don't want anything. All we want..."" It's true, right? It's true. I never heard that. Most people, they don't care, call it subsidy, call it, give me cash, just give me money, the farmer said, ""We..."" And by the way, I could see there was a chill in the room when I mentioned that word. I said, ""Did I say something wrong?"" The farmers are unbelievable, they're the heart of this nation. They said, ""We don't want subsidy."" I'll never forget it.",https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14,"Donald Trump held a campaign rally in Des Moines, Iowa on October 14. Read the transcript of his speech remarks here."
"""Sir, we don't want subsidy, we don't want that. We just want a level playing field, sir. We'll beat anybody. We want a level..."" And it's to this day... I tell that story all the time, because I don't hear that, most people they don't care you can call it anything you want, you call subsidy, you call it anything you want. I just think you people are incredible, okay? That's it. Enough of that or I'm going to make him cry, and he hasn't tried in 40 years, that guy. One of the most important issues for Iowa is the whole thing that happened with ethanol, they were killing ethanol, and Joe Biden has vowed to abolish fossil fuels, he supports all of the outside... This crusade to eliminate gas powered cars, and his running mate sponsors the insane... She's the most liberal... By the way, did Mike Pence beat her [inaudible 00",https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14,"Donald Trump held a campaign rally in Des Moines, Iowa on October 14. Read the transcript of his speech remarks here."
"So, for those people that understood what I just said, you know what I'm talking about, right? Using the pumps, that'll be okay. To defend our rights in our constitution, I nominated Judge Amy Coney Barrett to the United States Supreme Court. Right? And I'll tell you, I don't mind running against sleepy Joe, but I wouldn't want to run against her right now. She has to promise... Please promise me, Amy, you'll never run. Now, she's been great, she's so outsmarting these people with bad intention. You look at some of the questions that are being asked and you... It's so obvious, these are not great chess players. Let's face it, they're not great, but they're horrible, just horrible, nasty, and she handles it like nothing. She's a great intellect. And one of the reasons she is a highly respected professor who's been teaching for many years, I said she was the single greatest student that he's ever had, and that sold me. I believe in that kind of thing, it's called intelligence, I believe in intelligence. But I just want to... I haven't spoken to her in a few days, I want to just say that we made the right choice, right? With Amy. And speaking about making the right choice, you made the right choice a long time ago with a man named Senator Chuck Grassley. And you made the right choice and you're going to do it again, I hope, because she's great, Joni Ernst. And they're right now in Washington fighting to confirm our great new justice, our future justice of the United States Supreme Court. Joni has been fantastic and she's been for Iowa values for a long time. She'll call me, ""Sir, can we do this?"" Nobody called me more on ethanol than Joni and Chuck. In fact, I used to duck their calls, ""Just tell him I'm not in. I can't take it anymore, Joni."" But that's what a good Senator is, they want to keep your state going, they want to keep our country going, they love our country, they love our state that they represent.",https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14,"Donald Trump held a campaign rally in Des Moines, Iowa on October 14. Read the transcript of his speech remarks here."
"But they say, ""Are you going to pack the court, sir?"" ""I'm not going to answer that because I don't want to say."" ""Oh, okay, good. Next question."" No, can you believe it? This is the essence of our country, we can't allow this to happen. And the other thing is, they don't ask the second. I put up a list of 45, great, brilliant conservative, in our case, justices that go by the constitution as written et cetera, okay? So... He's got to put up the name of justices or judges, whoever he'd pick to become a justice of the Supreme Court, he's not doing that, they're not asking that question, they don't ask. Did you see the NBC thing last week where they had an NBC town hall? It was designed for a child, okay? When I get in, they ask me things that nobody ever even contemplated could be thought of. This guy, they're asking him these questions, nobody can believe it. In fact, NBC took a lot of heat, they took a lot of heat.",https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14,"Donald Trump held a campaign rally in Des Moines, Iowa on October 14. Read the transcript of his speech remarks here."
"They say it's the greatest plane in the world. And by the way, speaking of that, our military, when I came in the world's most overrated general told me, ""Sir, we have no ammunition because we may have had a conflict very early in."" And I said, ""No president should ever hear that."", And we have rebuilt our military $ 2.5 trillion all made in the USA with equipment like that, the likes of which no country has ever seen before. We are the envy of Russia and China and any other country. We have equipment that nobody has. Our missiles, our rockets, our nuclear has been totally upgraded and pray to God we never have to use it because I see what happens. Pray to God, but if we didn't have that, we could be in very big trouble. It's a very tough situation. But you look at the new tanks that we've ordered from Ohio, by the way. We kept the Lima, the Lima Plant. I said, ""Keep it open."" They were going to close it. I said, ""Keep it open.""",https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14,"Donald Trump held a campaign rally in Des Moines, Iowa on October 14. Read the transcript of his speech remarks here."
"It was President Xi, who's now the President of China."" And I said, ""You got to be kidding."" He said, ""Nope. I could tell right from the beginning he was different."" And I'm not happy with what's going on, but he said, ""I just met the next president."" And then I remembered that story and then I ran and he was so incredible to me and Iowa and he wanted us to win and his son was very much in charge of what we were doing and it worked out great and we won by a lot. And then we won the whole thing. And I said ""We have to pick somebody really smart for China."" And I said, ""The Governor of Iowa came to me and told me that story and I told him. I said, 'How would you like to be ambassador to China?' And he said, 'Sir, I've been doing this for 24 years. It would be an honor.' And I have to tell you this, he represented us great with China.""",https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14,"Donald Trump held a campaign rally in Des Moines, Iowa on October 14. Read the transcript of his speech remarks here."
"He represented us great. I never told that story. I never told that story, but about a month ago, he called and he said, ""Sir, I want to come home now. I want to make sure you get reelected. I want to come home."" And he's out there. I know he's out there working, but we love him. He's a special guy. We've got a couple of real beauties with Grassley and with this guy. I'll tell you, what a couple of great people. Thank you very much for everything. Great job you did as ambassador. The only question I have is do we call you Mr. Ambassador or Mr. Governor? What do you like?",https://www.rev.com/blog/transcripts/donald-trump-rally-des-moines-iowa-transcript-october-14,"Donald Trump held a campaign rally in Des Moines, Iowa on October 14. Read the transcript of his speech remarks here."
"A critical issue in this election, you saw what I did with China, billions and billions a year, they pay us. I gave a lot of it to the farmers, $28 billion. A critical issue because they were targeted by China. A critical issue in this election is the future of the Minnesota Iron Range. You know what. That's why I'm here. This was just supposed to be a little get together. And then they said, ""Sir, we got thousands of people want to show up. I don't know."" I don't know how many are involved. This is the best to be an Iron Range get together. But it turns out big. Biden has 20, 30 people. He's got those circles. Today he had a little bit more like 30 or 40, but they were too close together. I sent him a note to Joe. They were too close. 34 people right next to each other. And yet he complained about our rally, right? Our rallies.",https://www.rev.com/blog/transcripts/donald-trump-duluth-minnesota-campaign-rally-transcript-september-30-night-after-first-debate,"President Donald Trump held a campaign rally in Duluth, Minnesota on September 30. It was the first rally after his first presidential debate against Joe Biden. Read the transcript of his speech here."
"Now it's an honor that so many people showed up because this was going to be a little quickie just to say congratulations because Obama closed the Iron Range and I opened it and a man came up to me, a tough man, a worker, a construction worker, real worker. And he looked at me, this is two years ago, he said, ""Sir, you've given us back our life."" And he was crying. And I said, ""When was the last time you cried?"" He said, ""I can't remember."" I said, ""You never cried when you were a little baby. You never cried."" This is not a crier. This guy was tough as hell. He said, ""Sir, he took our life away."" And let me tell you about Joe. Joe will re-institute that ban in two minutes if we lose. So you better vote for me in Minnesota. Really, I mean honestly. He said, ""You gave our lives back. A lot of lives. Thousands of jobs."" And they closed it up. As Vice President Joe Biden wiped out. He wiped out so much, and that includes what he wiped out in the great state of Minnesota. And we're not going to let it happen anymore. We're not going to let it happen anymore. Thousands and thousands of workers, we're not going to let it happen anymore. They were all laid off and now they're all back. By the way they say, what the hell do I know about iron ore? A lot of steel than a lot of iron over the years. But they say it's the greatest iron ore anywhere in the world and you should have. After I put tariffs on foreign steel, the Iron Range came roaring back.",https://www.rev.com/blog/transcripts/donald-trump-duluth-minnesota-campaign-rally-transcript-september-30-night-after-first-debate,"President Donald Trump held a campaign rally in Duluth, Minnesota on September 30. It was the first rally after his first presidential debate against Joe Biden. Read the transcript of his speech here."
"So we're ruining this American dream for everybody, but he's got a plan. It's the worst thing you've ever seen having to do with zoning. They zone you out. They build low-income housing next to your house. It's crazy. Then I hear I'm not doing well in the suburbs. I'm not doing well in the suburbs. Are you people crazy? Are you crazy? I just explained this. No, I just explained it. Thank you. No, it's crazy. And they came to me, great people. Ben Carson, a lot of great people and they came to me and they said, ""Sir, why don't we just amend it?"" I said, ""No, really, I want it out. I want it over. I want it ended."" Well, it'd be a lot easier to amend it. I said, ""No, I want it over. It's not right. It's killing your suburbs. And it is. It's killing your suburbs."" And then they say women in the suburbs don't like President Trump. I don't think-",https://www.rev.com/blog/transcripts/donald-trump-duluth-minnesota-campaign-rally-transcript-september-30-night-after-first-debate,"President Donald Trump held a campaign rally in Duluth, Minnesota on September 30. It was the first rally after his first presidential debate against Joe Biden. Read the transcript of his speech here."
"Anyway, we did well with everybody, actually, and we're going to do even better now. We have more... Look at this crowd, this was supposed to be a few people. This was supposed to be just a little celebration. I said, ""Oh, good. A little celebration."" I figured a couple of hundred people like Sleepy Joe gets it his best day. I said, ""How many people?"" ""About 10,000, Sir."" I said, ""Oh, that's nice.""",https://www.rev.com/blog/transcripts/donald-trump-duluth-minnesota-campaign-rally-transcript-september-30-night-after-first-debate,"President Donald Trump held a campaign rally in Duluth, Minnesota on September 30. It was the first rally after his first presidential debate against Joe Biden. Read the transcript of his speech here."
"But we're going to win so much because Minnesota before I came around was not doing too well. Okay? Was not doing too well. Then you had your best years ever. But we're going to win so much and you're going to go and see your great Senator, Jason Lewis. He's going to say. And you're going to see Emmer, and you're going to see all of that. And you're going to say, Mr. Senator, please go see the President. We're winning too much. We can't stand it, sir. Minnesota, we're not used to winning this much. It's too much, sir. Please, go see. Well, I don't want to do that. Please Senator. Go see the President. We're winning too much. We cannot stand it. For years we've done poorly before he came along. Now we're doing so well. And we're growing now stronger than ever before. We don't want to win so much, Mr. Senator.",https://www.rev.com/blog/transcripts/donald-trump-duluth-minnesota-campaign-rally-transcript-september-30-night-after-first-debate,"President Donald Trump held a campaign rally in Duluth, Minnesota on September 30. It was the first rally after his first presidential debate against Joe Biden. Read the transcript of his speech here."
"So your Senator is going to come in. ""Hi Jason, how are you doing?"" ""Sir, Minnesota is winning too much. We have to stop it."" I said, ""What are you talking about?"" ""Sir, we have to stop it. It's just too much running. We have to stop it."" I say, ""Jason, let me tell you. I know the people of Minnesota and they love winning. They're going to keep winning. We're going to win. We're going to win so much. We're going to keep on winning. And you're going to have the greatest year that you've ever had next year and the year after. And that's where it's heading. So I just want to thank you, and Jason, I'm sorry. I will not follow your wish."" Thank you very much.",https://www.rev.com/blog/transcripts/donald-trump-duluth-minnesota-campaign-rally-transcript-september-30-night-after-first-debate,"President Donald Trump held a campaign rally in Duluth, Minnesota on September 30. It was the first rally after his first presidential debate against Joe Biden. Read the transcript of his speech here."
"If you want open schools, an open economy and a safe, healthy, thriving country. Vote for me. We're going to do it. We're doing it now. We're doing it. Now we're joined today by a few of my friends. I'll tell you this one guy, he got it right from the beginning. That's right. How did you know that? He's a warrior. He's tough as hell. He could have only been grown in Pennsylvania because he's that kind of a guy. He said a long time ago when I knew him, it was a year before the election, and I said this is four years plus one. I said, ""How do you think we're going to do?"" He said, ""Sir, you're going to win."" I said, ""How the hell do you know that? I just started."" The escalator ride wasn't too old. Right? The famous escalator with our First Lady. They love our First Lady. Wasn't too old. We had just come down and a man named-",https://www.rev.com/blog/transcripts/donald-trump-erie-pa-rally-transcript-october-20,"President Donald Trump held a campaign rally in Erie, PA on October 20. Read the transcript of his campaign speech here."
"We had just come down and a man named Congressman Mike Kelly said, ""Sir, you're going to win in a landslide."" Come up here, Mike. Come up. Come on. I don't know. Get up. He said, ""I can't do it again."" They'll figure it out. Don't hurt yourself though, Mike. Don't prove everything, Mike. Hey, fellas, could you help the man? Just give him a hand. Take your time, Mike. Don't hurt yourself. Can you imagine? He's trying to climb over a barrier to show ...",https://www.rev.com/blog/transcripts/donald-trump-erie-pa-rally-transcript-october-20,"President Donald Trump held a campaign rally in Erie, PA on October 20. Read the transcript of his campaign speech here."
"And if they get in, you will lose your Second Amendment. Remember that when you're getting ready to press Trump. We will strike down terrorists who threaten our citizens and we will keep America out of these ridiculous, horrible, endless wars. They're endless. We will maintain America's unrivaled military might, and we will ensure peace through strength. We will end surprise medical billing, require price transparency, already signed, starts on January 1st, it'll be bigger than healthcare, watch this. And further reduce the cost of prescription drugs, which I've done with favorite nations, the drug companies do not like me too much. You will have drug prices going down 50, 60, 70, 80%. Could you imagine if he were in this position and people would go up to him, ""Mr. President, you've done a great job on drug prices."" ""Oh, really? What happened?"" ""They're down 82%, Sir."" ""Really? I can't believe it."" You better give me the credit, dammit, I'll tell you.",https://www.rev.com/blog/transcripts/donald-trump-erie-pa-rally-transcript-october-20,"President Donald Trump held a campaign rally in Erie, PA on October 20. Read the transcript of his campaign speech here."
"Proud citizens like you helped build this country and together we are taking back our country. We are returning power to you, the American people, we are returning power to you. And I said that a long time ago, when we started. It was being taken away, I just didn't know quite how deep the swamp was. It's a little deeper, a little more treacherous than I thought, but we're beating them. Oh, well their head will explode on November 3rd. Can you imagine? And then, you know what's going to happen? You know what's going to happen? I think they're finally going to say, ""Okay, that's enough. Let's go."" I think by that time, they're going to have it. They will have had it. He goes, ""They better."" With your help, your devotion and your drive, we are going to keep on working. We are going to keep on fighting and we are going to keep on winning, winning, winning. We are one movement, one people, one family, and one glorious nation under God, and together with the incredible, and I mean that, I know you well. A lot of time in this incredible land, this beautiful place, this place of history. The incredible people of Pennsylvania, we have made America powerful again, our military had never been like this. Remember at the beginning, when the overrated general said to me, ""Sir, we have no ammunition."" I said, ""No president should ever have that."" No president should ever hear those words, ""Sir, we have no ammunition."" We now have so much ammunition that even Mike would be impressed. So, we've made it powerful again. We've made America wealthy again. Stock market, new records, your 401ks, everybody happy with their 401k?",https://www.rev.com/blog/transcripts/donald-trump-erie-pa-rally-transcript-october-20,"President Donald Trump held a campaign rally in Erie, PA on October 20. Read the transcript of his campaign speech here."
"You saw what I did with the people that wanted to do a culture change, right? They're all gone out of our military. They're gone out of everything. But they'll re-emerge. If you have the wrong leader, they'll re-emerge quickly. They'll order you to stay at home while letting rioters and MS-13 killers roam free without masks. Without masks. MS-13, doesn't have to wear a mask. You ever see that? They riot, they loot, they do everything, no problem. You get together, you get together, that's why we have outdoors, we always go outdoors, right? But they have a thing, you can't do anything. You can't go to church, right? You can't go to church. Your kids can't go to school, even though it's 99.9%, 99.9. In fact, Barron had it. ""Sir, he just tested positive."" ""Who?"" ""Barron."" About 12 seconds later, ""How's he doing?"" ""Oh, he's recovered."" ""Oh good."" Let's face it. They have stronger immune systems, stronger immune. They're very powerful. I never realized how powerful children are.",https://www.rev.com/blog/transcripts/donald-trump-gastonia-nc-rally-speech-transcript-october-21,"Donald Trump held a campaign rally in Gastonia, North Carolina on October 21. Read the transcript of the speech here."
"I said, ""Wait a minute. I was speaking. It was full."" Well, they took the pictures about five or six hours early. They had everything roped off. And I said to my people, ""We ought to bring that up every once in a while. ""Oh sir, nobody cares about it."" I care about it. I care about it. No, they took the pictures way early, and when I was speaking, I'm looking at this thing all the way back, it was so beautiful...",https://www.rev.com/blog/transcripts/donald-trump-gastonia-nc-rally-speech-transcript-october-21,"Donald Trump held a campaign rally in Gastonia, North Carolina on October 21. Read the transcript of the speech here."
"Somebody said president, a friend of mine from New York, very successful guy, big builder said, ""President, President."" They don't call me Donald anymore. I lost all my friends because everybody, they call me up. They say, "" Oh, it's the president. And it's the president."" I pick up. ""Hey Richard, how you doing, Rich?"" He goes, ""Mr. President, sir. How are you?"" He used to say, ""Hey, Don, how about going out to dinner tonight?"" It's true. I lost all my friends because they all respect the office. Forget about, they respect the office of the president. Right? True.",https://www.rev.com/blog/transcripts/donald-trump-gastonia-nc-rally-speech-transcript-october-21,"Donald Trump held a campaign rally in Gastonia, North Carolina on October 21. Read the transcript of the speech here."
"And call me up. He'll say, ""Mr. President, sir."" I've known this guy for so many years. I don't say exactly how many, but too many, many. Let's put it this way. Many more than 30. So I say, ""Richard, loosen up, loosen up."" ""Yes sir."" I said, ""Call me Donald."" ""Yes, sir."" Okay. So, we're going on. And I say, ""How's everything going? How's New York? I miss it."" ""It's going to hell with this crazy mayor, this crazy governor we have. Crime is through the roof."" Crime in New York is through the roof and it all happened since I left. I mean, maybe I should take credit for that, that we did a good job. No, but it's very sad what happened. I said, ""How's it going?"" We talked. And then he ends it by saying ""Mr. President, sir. Thank you very much."" I said, ""Richard, you don't have to thank me for speaking to me."" And it's one of those things, but they have respect for the office, right? They have respect for the office. And we have to have more respect for our country. When somebody gets up before the halls of Congress, in the halls.",https://www.rev.com/blog/transcripts/donald-trump-gastonia-nc-rally-speech-transcript-october-21,"Donald Trump held a campaign rally in Gastonia, North Carolina on October 21. Read the transcript of the speech here."
